"condition_idx","trial_idx","item_idx","rank_idx","group","rt","choice"
1,46,1,3,0,1.61,-1
1,47,3,1,1,1.33,1
1,47,2,2,1,2.68,1
1,47,1,3,1,2.93,-1
1,48,3,1,1,0.91,1
1,48,2,2,1,1.09,1
1,48,1,3,1,2.67,-1
1,49,1,1,0,0.35,1
1,49,2,2,0,1.08,1
1,49,3,3,0,1.81,1
1,50,1,1,0,0.56,1
1,50,2,2,0,0.91,1
1,50,3,3,0,1.24,1
1,51,1,1,1,0.23,1
1,51,3,2,1,0.33,1
1,51,2,3,1,5.55,1
1,52,1,1,1,0.58,1
1,52,2,2,1,0.85,1
1,52,3,3,1,0.9,1
1,53,2,1,0,0.71,-1
1,53,1,2,0,1.28,1
1,53,3,3,0,1.45,1
1,54,3,1,1,0.33,1
1,54,2,2,1,0.47,1
1,54,1,3,1,0.79,1
1,55,1,1,0,0.34,1
1,55,3,2,0,0.46,-1
1,55,2,3,0,2.01,1
1,56,1,1,0,0.23,-1
1,56,3,2,0,0.65,1
1,56,2,3,0,0.76,1
1,57,2,1,1,0.28,1
1,57,1,2,1,0.35,1
1,57,3,3,1,0.5,1
1,58,2,1,1,0.36,1
1,58,1,2,1,0.4,1
1,58,3,3,1,0.43,1
1,59,1,1,0,0.26,1
1,59,3,2,0,0.28,1
1,59,2,3,0,0.43,1
1,60,2,1,1,0.57,1
1,60,1,2,1,1.03,1
1,60,3,3,1,5.12,1
1,61,2,1,0,0.42,1
1,61,1,2,0,0.5,1
1,61,3,3,0,1.06,1
1,62,3,1,1,1.25,1
1,62,2,2,1,1.54,1
1,62,1,3,1,1.9,-1
1,63,1,1,0,0.7,-1
1,63,3,2,0,0.96,1
1,63,2,3,0,1.17,1
1,64,3,1,1,0.41,1
1,64,1,2,1,0.74,1
1,64,2,3,1,1.33,1
1,65,3,1,1,0.55,1
1,65,2,2,1,0.63,1
1,65,1,3,1,0.81,1
1,66,2,1,0,1.12,1
1,66,3,2,0,1.51,1
1,66,1,3,0,4.53,1
1,67,3,1,0,0.31,-1
1,67,2,2,0,0.32,-1
1,67,1,3,0,1.03,1
1,68,3,1,0,0.67,1
1,68,1,2,0,0.75,1
1,68,2,3,0,1.64,1
1,69,1,1,1,0.23,1
1,69,3,2,1,1.02,1
1,69,2,3,1,2.21,1
1,70,3,1,1,0.6,1
1,70,1,2,1,0.86,1
1,70,2,3,1,1.03,1
1,71,3,1,1,0.22,1
1,71,2,2,1,0.24,1
1,71,1,3,1,1.14,-1
1,72,1,1,0,0.45,1
1,72,3,2,0,0.78,1
1,72,2,3,0,0.84,1
1,73,2,1,0,0.24,1
1,73,1,2,0,0.33,-1
1,73,3,3,0,0.63,-1
1,74,3,1,1,0.48,-1
1,74,2,2,1,0.56,1
1,74,1,3,1,1.12,1
1,75,2,1,1,0.25,1
1,75,3,2,1,0.52,1
1,75,1,3,1,1.27,1
1,76,1,1,1,0.59,-1
1,76,3,2,1,0.71,1
1,76,2,3,1,0.75,1
1,77,2,1,1,0.35,1
1,77,3,2,1,0.73,1
1,77,1,3,1,1.49,1
1,78,1,1,1,0.24,-1
1,78,3,2,1,0.44,1
1,78,2,3,1,1.22,1
1,79,3,1,0,0.2,-1
1,79,1,2,0,1.21,-1
1,79,2,3,0,1.22,-1
1,80,2,1,1,0.29,1
1,80,3,2,1,0.78,1
1,80,1,3,1,2.9,1
1,81,3,1,1,0.41,1
1,81,2,2,1,1.26,1
1,81,1,3,1,1.52,-1
1,82,2,1,1,0.53,1
1,82,3,2,1,0.76,1
1,82,1,3,1,1.04,1
1,83,1,1,0,0.65,1
1,83,3,2,0,0.98,1
1,83,2,3,0,1.3,1
1,84,3,1,1,0.15,1
1,84,1,2,1,0.6,1
1,84,2,3,1,0.66,-1
1,85,2,1,1,0.6,-1
1,85,3,2,1,1.14,1
1,85,1,3,1,2.87,1
1,86,2,1,0,0.45,1
1,86,1,2,0,1.44,-1
1,86,3,3,0,2.14,1
1,87,1,1,0,0.13,1
1,87,2,2,0,0.23,1
1,87,3,3,0,0.47,1
1,88,3,1,1,0.5,1
1,88,2,2,1,1.13,-1
1,88,1,3,1,1.39,-1
1,89,1,1,0,0.19,1
1,89,3,2,0,1.45,1
1,89,2,3,0,1.98,1
1,90,3,1,1,0.15,1
1,90,1,2,1,0.76,1
1,90,2,3,1,1.2,1
1,91,2,1,1,0.25,1
1,91,3,2,1,0.85,1
1,91,1,3,1,1.6,1
1,92,3,1,0,0.37,1
1,92,1,2,0,1.22,1
1,92,2,3,0,1.87,1
1,93,3,1,0,0.15,1
1,93,1,2,0,0.51,1
1,93,2,3,0,1.65,-1
1,94,3,1,1,0.23,-1
1,94,2,2,1,0.26,1
1,94,1,3,1,0.85,-1
1,95,2,1,1,0.41,-1
1,95,3,2,1,1.56,-1
1,95,1,3,1,2.89,1
1,96,3,1,1,0.3,1
1,96,2,2,1,0.78,1
1,96,1,3,1,1.04,1
1,97,2,1,0,0.42,1
1,97,3,2,0,0.69,1
1,97,1,3,0,0.7,1
1,98,1,1,0,0.19,1
1,98,3,2,0,0.61,1
1,98,2,3,0,0.77,1
1,99,1,1,1,0.25,1
1,99,3,2,1,0.71,1
1,99,2,3,1,1.63,1
1,100,3,1,0,0.24,1
1,100,2,2,0,0.3,1
1,100,1,3,0,0.38,1
1,101,1,1,0,0.13,1
1,101,2,2,0,0.29,-1
1,101,3,3,0,0.84,1
1,102,1,1,1,0.35,-1
1,102,2,2,1,0.48,-1
1,102,3,3,1,0.59,1
1,103,1,1,0,0.67,1
1,103,2,2,0,0.91,1
1,103,3,3,0,1.97,1
1,104,1,1,1,0.54,1
1,104,2,2,1,0.87,1
1,104,3,3,1,1.14,1
1,105,1,1,0,0.68,1
1,105,2,2,0,0.94,1
1,105,3,3,0,1.85,1
1,106,1,1,0,0.15,1
1,106,2,2,0,0.34,1
1,106,3,3,0,0.63,1
1,107,2,1,0,0.32,1
1,107,1,2,0,0.57,1
1,107,3,3,0,0.77,1
1,108,2,1,0,0.83,1
1,108,1,2,0,0.9,-1
1,108,3,3,0,1,1
1,109,1,1,1,0.41,1
1,109,3,2,1,0.42,1
1,109,2,3,1,0.43,-1
1,110,1,1,1,0.13,-1
1,110,3,2,1,2.13,1
1,110,2,3,1,3.63,1
1,111,2,1,1,0.18,1
1,111,1,2,1,0.28,1
1,111,3,3,1,0.81,1
1,112,3,1,0,0.25,1
1,112,2,2,0,0.53,-1
1,112,1,3,0,0.68,-1
1,113,1,1,1,0.41,1
1,113,3,2,1,0.82,1
1,113,2,3,1,0.83,1
1,114,2,1,0,0.26,1
1,114,1,2,0,1.04,1
1,114,3,3,0,1.35,1
1,115,1,1,1,0.68,1
1,115,2,2,1,0.69,1
1,115,3,3,1,1.21,1
1,116,2,1,1,0.44,-1
1,116,3,2,1,0.58,1
1,116,1,3,1,2.67,1
1,117,1,1,1,0.31,-1
1,117,3,2,1,0.34,1
1,117,2,3,1,0.69,1
1,118,2,1,0,0.34,1
1,118,3,2,0,0.64,1
1,118,1,3,0,2.44,-1
1,119,2,1,0,0.46,1
1,119,3,2,0,1.27,1
1,119,1,3,0,1.47,-1
1,120,1,1,1,1.08,1
1,120,3,2,1,1.29,1
1,120,2,3,1,2.2,-1
1,121,3,1,1,0.21,1
1,121,2,2,1,0.41,1
1,121,1,3,1,1.1,1
1,122,2,1,0,0.39,1
1,122,3,2,0,1.45,1
1,122,1,3,0,2.82,1
1,123,2,1,1,0.45,1
1,123,3,2,1,1.2,1
1,123,1,3,1,2.2,1
1,124,1,1,1,0.13,-1
1,124,3,2,1,0.36,1
1,124,2,3,1,0.6,1
1,125,3,1,1,0.55,1
1,125,2,2,1,1.28,1
1,125,1,3,1,1.41,1
1,126,1,1,0,0.27,1
1,126,2,2,0,0.29,1
1,126,3,3,0,0.33,-1
1,127,2,1,1,0.12,1
1,127,3,2,1,1.53,1
1,127,1,3,1,2.07,1
1,128,2,1,1,0.28,-1
1,128,3,2,1,0.62,1
1,128,1,3,1,1.17,1
1,129,1,1,0,0.47,1
1,129,2,2,0,0.59,1
1,129,3,3,0,1.25,1
1,130,1,1,1,0.1,-1
1,130,3,2,1,0.4,1
1,130,2,3,1,1.31,-1
1,131,3,1,0,0.12,1
1,131,1,2,0,0.36,1
1,131,2,3,0,0.73,-1
1,132,1,1,0,0.56,-1
1,132,2,2,0,0.73,1
1,132,3,3,0,1.72,-1
1,133,1,1,1,0.54,1
1,133,3,2,1,0.63,1
1,133,2,3,1,1.32,-1
1,134,3,1,0,0.33,1
1,134,1,2,0,1.08,1
1,134,2,3,0,1.49,1
1,135,2,1,1,0.57,1
1,135,3,2,1,0.59,1
1,135,1,3,1,2.08,-1
1,136,3,1,1,0.51,1
1,136,2,2,1,1.09,1
1,136,1,3,1,1.59,1
1,137,3,1,1,0.6,1
1,137,2,2,1,0.99,1
1,137,1,3,1,1.11,1
1,138,1,1,0,0.31,1
1,138,3,2,0,0.57,1
1,138,2,3,0,1.52,1
1,139,3,1,0,0.72,1
1,139,1,2,0,0.85,1
1,139,2,3,0,0.98,1
1,140,1,1,1,0.4,1
1,140,2,2,1,0.73,1
1,140,3,3,1,1.15,1
1,141,3,1,1,0.2,1
1,141,1,2,1,0.42,1
1,141,2,3,1,1.39,-1
1,142,2,1,1,0.19,1
1,142,3,2,1,1.3,1
1,142,1,3,1,1.67,1
1,143,3,1,0,0.32,1
1,143,1,2,0,0.93,1
1,143,2,3,0,1.02,1
1,144,3,1,0,0.44,1
1,144,2,2,0,0.57,1
1,144,1,3,0,1.24,-1
1,145,2,1,1,0.31,1
1,145,3,2,1,0.7,1
1,145,1,3,1,1.17,-1
1,146,2,1,0,0.24,1
1,146,3,2,0,0.28,1
1,146,1,3,0,0.49,1
1,147,2,1,1,0.28,1
1,147,3,2,1,0.39,1
1,147,1,3,1,0.73,-1
1,148,1,1,1,0.86,1
1,148,3,2,1,1.05,1
1,148,2,3,1,1.28,-1
1,149,1,1,0,0.38,1
1,149,3,2,0,1.3,-1
1,149,2,3,0,2.08,1
1,150,1,1,1,0.25,1
1,150,2,2,1,0.44,1
1,150,3,3,1,0.47,1
1,151,2,1,0,0.56,1
1,151,3,2,0,0.65,1
1,151,1,3,0,3.84,1
1,152,3,1,1,0.18,1
1,152,2,2,1,0.51,1
1,152,1,3,1,1.25,1
1,153,3,1,0,0.23,1
1,153,2,2,0,1.02,1
1,153,1,3,0,1.11,1
1,154,1,1,0,0.47,1
1,154,3,2,0,0.59,1
1,154,2,3,0,1.1,-1
1,155,1,1,0,0.18,1
1,155,3,2,0,0.37,1
1,155,2,3,0,0.96,1
1,156,2,1,0,0.3,1
1,156,1,2,0,0.52,-1
1,156,3,3,0,0.69,1
1,157,3,1,0,0.46,1
1,157,1,2,0,0.51,1
1,157,2,3,0,1.59,1
1,158,3,1,0,1.24,1
1,158,2,2,0,2.88,-1
1,158,1,3,0,3.24,1
1,159,3,1,1,0.27,1
1,159,1,2,1,0.4,1
1,159,2,3,1,0.47,1
1,160,3,1,0,0.39,1
1,160,1,2,0,0.67,1
1,160,2,3,0,1.03,1
1,161,2,1,0,0.52,1
1,161,3,2,0,1.49,-1
1,161,1,3,0,2.19,-1
1,162,3,1,1,0.98,-1
1,162,1,2,1,1.72,1
1,162,2,3,1,3.18,1
1,163,3,1,0,0.99,1
1,163,1,2,0,1.12,-1
1,163,2,3,0,1.56,-1
1,164,2,1,1,0.23,1
1,164,1,2,1,0.42,-1
1,164,3,3,1,1.79,1
1,165,3,1,0,0.26,1
1,165,1,2,0,0.38,1
1,165,2,3,0,0.45,1
1,166,3,1,1,0.23,1
1,166,2,2,1,0.95,1
1,166,1,3,1,1.47,1
1,167,1,1,0,0.4,1
1,167,3,2,0,0.86,1
1,167,2,3,0,0.91,1
1,168,3,1,0,0.25,1
1,168,1,2,0,0.27,-1
1,168,2,3,0,1.04,-1
1,169,3,1,1,0.57,1
1,169,2,2,1,0.61,1
1,169,1,3,1,5.09,1
1,170,3,1,0,0.39,1
1,170,2,2,0,1.56,1
1,170,1,3,0,2.57,-1
1,171,3,1,1,0.59,1
1,171,2,2,1,0.93,-1
1,171,1,3,1,1.67,1
1,172,2,1,1,0.56,1
1,172,3,2,1,0.61,-1
1,172,1,3,1,0.99,-1
1,173,2,1,1,0.4,1
1,173,1,2,1,0.57,-1
1,173,3,3,1,1.21,-1
1,174,3,1,0,1.06,1
1,174,2,2,0,1.68,-1
1,174,1,3,0,3.35,-1
1,175,2,1,1,0.44,1
1,175,3,2,1,1.29,1
1,175,1,3,1,1.99,1
1,176,2,1,1,0.5,1
1,176,3,2,1,1.12,1
1,176,1,3,1,2.14,-1
1,177,2,1,1,0.45,1
1,177,1,2,1,0.7,1
1,177,3,3,1,1.81,1
1,178,3,1,0,0.47,1
1,178,1,2,0,0.52,1
1,178,2,3,0,0.75,1
1,179,2,1,1,0.63,-1
1,179,1,2,1,1.54,-1
1,179,3,3,1,2.4,1
1,180,3,1,0,0.27,-1
1,180,2,2,0,0.33,-1
1,180,1,3,0,2.68,1
1,181,2,1,1,0.11,1
1,181,3,2,1,0.89,1
1,181,1,3,1,1.12,1
1,182,2,1,1,0.66,1
1,182,3,2,1,0.88,-1
1,182,1,3,1,1.43,1
1,183,3,1,1,0.14,1
1,183,2,2,1,0.25,1
1,183,1,3,1,0.4,1
1,184,2,1,0,0.25,1
1,184,3,2,0,0.36,1
1,184,1,3,0,1.34,1
1,185,3,1,1,0.64,1
1,185,2,2,1,0.83,1
1,185,1,3,1,1.05,1
1,186,3,1,1,0.21,1
1,186,2,2,1,0.29,1
1,186,1,3,1,0.82,1
1,187,2,1,1,0.7,1
1,187,1,2,1,0.76,-1
1,187,3,3,1,1.39,-1
1,188,1,1,1,0.66,-1
1,188,2,2,1,1.48,-1
1,188,3,3,1,1.62,1
1,189,2,1,0,0.25,1
1,189,3,2,0,0.79,1
1,189,1,3,0,1.94,1
1,190,3,1,0,0.85,1
1,190,2,2,0,0.86,1
1,190,1,3,0,1.67,1
1,191,2,1,1,0.35,1
1,191,3,2,1,0.38,1
1,191,1,3,1,0.72,1
1,192,1,1,1,0.36,1
1,192,3,2,1,0.75,1
1,192,2,3,1,2.23,1
1,193,3,1,1,0.7,1
1,193,2,2,1,0.87,1
1,193,1,3,1,1.25,-1
1,194,1,1,0,0.23,1
1,194,2,2,0,0.87,1
1,194,3,3,0,1.59,1
1,195,3,1,0,0.27,1
1,195,2,2,0,0.97,1
1,195,1,3,0,1.64,-1
1,196,2,1,0,0.32,-1
1,196,1,2,0,0.67,1
1,196,3,3,0,1.31,1
1,197,3,1,0,0.34,1
1,197,1,2,0,0.41,1
1,197,2,3,0,0.53,1
1,198,1,1,1,0.3,1
1,198,2,2,1,0.48,1
1,198,3,3,1,0.76,1
1,199,1,1,1,0.31,1
1,199,3,2,1,0.77,1
1,199,2,3,1,1.09,1
1,200,1,1,1,0.25,1
1,200,3,2,1,1.28,1
1,200,2,3,1,1.67,1
1,201,2,1,1,0.88,1
1,201,3,2,1,1.03,1
1,201,1,3,1,1.24,-1
1,202,1,1,1,0.44,1
1,202,2,2,1,0.81,-1
1,202,3,3,1,2.22,1
1,203,3,1,1,0.68,1
1,203,2,2,1,1.39,1
1,203,1,3,1,2.1,1
1,204,3,1,1,0.3,1
1,204,1,2,1,0.35,1
1,204,2,3,1,0.39,1
1,205,2,1,1,0.36,-1
1,205,1,2,1,0.72,1
1,205,3,3,1,1.08,1
1,206,1,1,1,0.15,1
1,206,3,2,1,0.24,1
1,206,2,3,1,0.52,-1
1,207,3,1,1,0.24,1
1,207,2,2,1,0.44,1
1,207,1,3,1,0.57,1
1,208,1,1,0,0.64,1
1,208,2,2,0,1.37,1
1,208,3,3,0,1.72,1
1,209,3,1,1,0.25,1
1,209,2,2,1,0.5,1
1,209,1,3,1,1.51,1
1,210,2,1,1,0.7,-1
1,210,1,2,1,0.83,1
1,210,3,3,1,1.45,1
1,211,3,1,0,0.38,1
1,211,1,2,0,0.85,1
1,211,2,3,0,1.78,1
1,212,2,1,0,0.35,-1
1,212,3,2,0,0.37,1
1,212,1,3,0,0.4,1
1,213,3,1,0,0.59,1
1,213,2,2,0,0.88,1
1,213,1,3,0,1.35,1
1,214,3,1,1,0.87,1
1,214,2,2,1,1.24,1
1,214,1,3,1,2.58,1
1,215,2,1,1,0.31,1
1,215,3,2,1,0.32,1
1,215,1,3,1,2.35,-1
1,216,3,1,0,0.85,-1
1,216,1,2,0,1.25,1
1,216,2,3,0,1.55,1
1,217,3,1,0,0.64,1
1,217,1,2,0,0.79,1
1,217,2,3,0,1.77,1
1,218,2,1,0,0.3,1
1,218,1,2,0,1.02,-1
1,218,3,3,0,1.14,1
1,219,2,1,0,0.57,1
1,219,3,2,0,0.99,1
1,219,1,3,0,1.46,-1
1,220,3,1,1,1.16,-1
1,220,2,2,1,1.25,1
1,220,1,3,1,1.3,1
1,221,1,1,0,0.49,1
1,221,2,2,0,0.9,1
1,221,3,3,0,1.65,-1
1,222,2,1,0,0.15,1
1,222,1,2,0,1.24,-1
1,222,3,3,0,1.74,1
1,223,3,1,0,0.3,1
1,223,1,2,0,0.37,1
1,223,2,3,0,0.7,-1
1,224,3,1,0,0.32,1
1,224,1,2,0,1.28,1
1,224,2,3,0,1.44,1
1,225,1,1,1,0.37,1
1,225,2,2,1,0.96,-1
1,225,3,3,1,1.7,1
1,226,3,1,0,0.35,1
1,226,1,2,0,1.32,-1
1,226,2,3,0,2.32,-1
1,227,3,1,0,0.55,-1
1,227,1,2,0,0.86,1
1,227,2,3,0,2.73,-1
1,228,3,1,0,0.29,1
1,228,2,2,0,0.91,1
1,228,1,3,0,1.32,1
1,229,2,1,1,0.27,1
1,229,1,2,1,0.37,1
1,229,3,3,1,0.59,1
1,230,3,1,1,0.31,1
1,230,1,2,1,0.76,1
1,230,2,3,1,1.03,1
1,231,1,1,0,0.44,1
1,231,3,2,0,0.7,-1
1,231,2,3,0,1.15,1
1,232,1,1,0,0.19,1
1,232,2,2,0,0.24,1
1,232,3,3,0,0.31,1
1,233,1,1,0,0.82,1
1,233,2,2,0,0.88,1
1,233,3,3,0,0.96,1
1,234,2,1,1,0.26,1
1,234,1,2,1,0.71,1
1,234,3,3,1,0.97,1
1,235,3,1,0,0.25,1
1,235,2,2,0,0.47,1
1,235,1,3,0,1.07,1
1,236,1,1,1,0.4,-1
1,236,2,2,1,0.78,1
1,236,3,3,1,1.01,1
1,237,3,1,0,0.13,1
1,237,2,2,0,0.47,1
1,237,1,3,0,2.56,1
1,238,2,1,1,0.41,1
1,238,3,2,1,0.64,-1
1,238,1,3,1,1.85,-1
1,239,3,1,0,0.67,1
1,239,2,2,0,1.07,-1
1,239,1,3,0,2.28,1
1,240,3,1,1,0.28,1
1,240,2,2,1,0.39,-1
1,240,1,3,1,0.94,1
1,241,3,1,1,1.37,1
1,241,1,2,1,1.66,1
1,241,2,3,1,1.97,-1
1,242,3,1,1,0.4,1
1,242,2,2,1,0.82,1
1,242,1,3,1,1.87,1
1,243,3,1,0,0.6,-1
1,243,1,2,0,1.43,-1
1,243,2,3,0,5.32,1
1,244,1,1,0,0.13,-1
1,244,2,2,0,0.3,1
1,244,3,3,0,1.5,1
1,245,2,1,0,0.42,1
1,245,1,2,0,0.87,1
1,245,3,3,0,1.21,-1
1,246,2,1,0,0.45,1
1,246,3,2,0,0.46,1
1,246,1,3,0,1.01,1
1,247,2,1,1,0.44,1
1,247,3,2,1,0.74,-1
1,247,1,3,1,1.44,1
1,248,2,1,0,0.34,1
1,248,3,2,0,0.56,1
1,248,1,3,0,2.17,1
1,249,1,1,0,0.31,1
1,249,2,2,0,1.02,1
1,249,3,3,0,2.03,1
1,250,2,1,1,0.68,-1
1,250,3,2,1,0.69,1
1,250,1,3,1,1.81,1
1,251,1,1,1,0.49,1
1,251,3,2,1,0.6,1
1,251,2,3,1,0.73,1
1,252,2,1,0,0.4,1
1,252,3,2,0,0.41,1
1,252,1,3,0,2.67,1
1,253,3,1,1,0.93,1
1,253,2,2,1,1.78,-1
1,253,1,3,1,3.39,-1
1,254,1,1,1,0.49,1
1,254,2,2,1,0.5,1
1,254,3,3,1,0.82,1
1,255,2,1,0,0.41,1
1,255,1,2,0,0.58,-1
1,255,3,3,0,1.04,1
1,256,1,1,0,0.33,-1
1,256,3,2,0,0.35,-1
1,256,2,3,0,1.71,-1
1,257,2,1,0,0.71,1
1,257,3,2,0,1.36,1
1,257,1,3,0,1.62,-1
1,258,3,1,1,0.5,1
1,258,1,2,1,0.55,1
1,258,2,3,1,1.8,1
1,259,2,1,1,0.68,1
1,259,3,2,1,0.9,1
1,259,1,3,1,2.11,-1
1,260,2,1,0,0.75,-1
1,260,1,2,0,1.06,1
1,260,3,3,0,1.65,1
1,261,2,1,0,0.37,1
1,261,3,2,0,0.56,1
1,261,1,3,0,0.88,1
1,262,3,1,1,0.62,1
1,262,2,2,1,1.03,1
1,262,1,3,1,1.29,1
1,263,3,1,1,0.49,1
1,263,2,2,1,0.92,1
1,263,1,3,1,1.82,1
1,264,2,1,1,0.13,1
1,264,3,2,1,1.13,1
1,264,1,3,1,2.23,-1
1,265,2,1,0,0.12,1
1,265,1,2,0,0.25,1
1,265,3,3,0,2.07,1
1,266,1,1,0,0.55,1
1,266,2,2,0,1.05,1
1,266,3,3,0,2.11,1
1,267,2,1,0,0.46,1
1,267,1,2,0,1,-1
1,267,3,3,0,1.13,-1
1,268,3,1,0,0.27,-1
1,268,1,2,0,0.57,1
1,268,2,3,0,1.62,1
1,269,1,1,1,0.66,1
1,269,3,2,1,1.17,1
1,269,2,3,1,1.34,1
1,270,1,1,1,0.56,1
1,270,3,2,1,0.8,1
1,270,2,3,1,1.71,1
1,271,1,1,1,0.26,1
1,271,3,2,1,0.43,1
1,271,2,3,1,0.6,1
1,272,3,1,0,0.41,1
1,272,2,2,0,0.65,1
1,272,1,3,0,0.72,1
1,273,3,1,0,0.52,1
1,273,1,2,0,0.7,1
1,273,2,3,0,0.99,-1
1,274,3,1,0,0.27,1
1,274,2,2,0,0.72,1
1,274,1,3,0,1.66,1
1,275,3,1,0,0.82,1
1,275,2,2,0,2.74,1
1,275,1,3,0,2.77,1
1,276,1,1,1,0.3,1
1,276,2,2,1,0.52,1
1,276,3,3,1,0.64,1
1,277,2,1,0,0.68,-1
1,277,1,2,0,1.07,1
1,277,3,3,0,1.88,1
1,278,3,1,1,0.29,1
1,278,1,2,1,0.56,1
1,278,2,3,1,1.67,1
1,279,3,1,1,0.71,1
1,279,2,2,1,2.07,1
1,279,1,3,1,3.31,1
1,280,3,1,1,2.05,1
1,280,1,2,1,2.42,1
1,280,2,3,1,2.98,1
1,281,3,1,0,0.45,1
1,281,1,2,0,0.89,-1
1,281,2,3,0,2.16,1
1,282,1,1,0,0.49,1
1,282,3,2,0,0.87,1
1,282,2,3,0,0.93,1
1,283,2,1,0,0.58,1
1,283,1,2,0,0.71,-1
1,283,3,3,0,0.94,-1
1,284,1,1,0,1.14,1
1,284,3,2,0,1.38,1
1,284,2,3,0,3.02,1
1,285,1,1,1,0.35,1
1,285,3,2,1,0.39,-1
1,285,2,3,1,0.79,1
1,286,1,1,1,0.23,1
1,286,3,2,1,0.42,1
1,286,2,3,1,0.77,1
1,287,3,1,0,0.57,-1
